frame	  time
0	  0.008543
1	  0.013543
2	  0.018543
3	  0.023543
4	  0.028543
5	  0.033543
6	  0.038543
7	  0.043543
8	  0.048543
9	  0.053543
10	  0.058543
11	  0.063543
12	  0.068543
13	  0.073543
14	  0.078543
15	  0.083543
16	  0.088543
17	  0.093543
18	  0.098543
19	  0.103543
20	  0.108543
21	  0.113543
22	  0.118543
23	  0.123543
24	  0.128543
25	  0.133543
26	  0.138543
27	  0.143543
28	  0.148543
29	  0.153543
30	  0.158543
31	  0.163543
32	  0.168543
33	  0.173543
34	  0.178543
35	  0.183543
36	  0.188543
37	  0.193543
38	  0.198543
39	  0.203543
40	  0.208543
41	  0.213543
42	  0.218543
43	  0.223543
44	  0.228543
45	  0.233543
46	  0.238543
47	  0.243543
48	  0.248543
49	  0.253543
50	  0.258543
51	  0.263543
52	  0.268543
53	  0.273543
54	  0.278543
55	  0.283543
56	  0.288543
57	  0.293543
58	  0.298543
59	  0.303543
60	  0.308543
61	  0.313543
62	  0.318543
63	  0.323543
64	  0.328543
65	  0.333543
66	  0.338543
67	  0.343543
68	  0.348543
69	  0.353543
70	  0.358543
71	  0.363543
72	  0.368543
73	  0.373543
74	  0.378543
75	  0.383543
76	  0.388543
77	  0.393543
78	  0.398543
79	  0.403543
80	  0.408543
81	  0.413543
82	  0.418543
83	  0.423543
84	  0.428543
85	  0.433543
86	  0.438543
87	  0.443543
88	  0.448543
89	  0.453543
90	  0.458543
91	  0.463543
92	  0.468543
93	  0.473543
94	  0.478543
95	  0.483543
96	  0.488543
97	  0.493543
98	  0.498543
99	  0.503543
100	  0.508543
101	  0.513543
102	  0.518543
103	  0.523543
104	  0.528543
105	  0.533543
106	  0.538543
107	  0.543543
108	  0.548543
109	  0.553543
110	  0.558543
111	  0.563543
112	  0.568543
113	  0.573543
114	  0.578543
115	  0.583543
116	  0.588543
117	  0.593543
118	  0.598543
119	  0.603543
120	  0.608543
121	  0.613543
122	  0.618543
123	  0.623543
124	  0.628543
125	  0.633543
126	  0.638543
127	  0.643543
128	  0.648543
129	  0.653543
130	  0.658543
131	  0.663543
132	  0.668543
133	  0.673543
134	  0.678543
135	  0.683543
136	  0.688543
137	  0.693543
138	  0.698543
139	  0.703543
140	  0.708543
141	  0.713543
142	  0.718543
143	  0.723543
144	  0.728543
145	  0.733543
146	  0.738543
147	  0.743543
148	  0.748543
149	  0.753543
150	  0.758543
151	  0.763543
152	  0.768543
153	  0.773543
154	  0.778543
155	  0.783543
156	  0.788543
157	  0.793543
158	  0.798543
159	  0.803543
160	  0.808543
161	  0.813543
162	  0.818543
163	  0.823543
164	  0.828543
165	  0.833543
166	  0.838543
167	  0.843543
168	  0.848543
169	  0.853543
170	  0.858543
171	  0.863543
172	  0.868543
173	  0.873543
174	  0.878543
175	  0.883543
176	  0.888543
177	  0.893543
178	  0.898543
179	  0.903543
180	  0.908543
181	  0.913543
182	  0.918543
183	  0.923543
184	  0.928543
185	  0.933543
186	  0.938543
187	  0.943543
188	  0.948543
189	  0.953543
190	  0.958543
191	  0.963543
192	  0.968543
193	  0.973543
194	  0.978543
195	  0.983543
196	  0.988543
197	  0.993543
198	  0.998543
